DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,LV,2019,15931.935,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,LV,2020,16029.216,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,LV,2021,17389.242,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,MT,2013,0.000,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,MT,2014,0.000,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,MT,2015,0.000,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,MT,2016,0.000,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,MT,2017,0.210,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,MT,2018,3.014,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,MT,2019,10.892,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,MT,2020,0.012,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,MT,2021,0.117,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,NL,2013,18758.447,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,NL,2014,22381.887,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,NL,2015,20854.012,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,NL,2016,19351.910,
